YEAR,MONTH,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District.of.Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New.Hampshire,New.Jersey,New.Mexico,New.York,North.Carolina,North.Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode.Island,South.Carolina,South.Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West.Virginia,Wisconsin,Wyoming
1956,5,224,102,315,298,113,23,6,2,71,110,26,40,38,47,11,158,2,33,10,73,149,13,27,14,5,12,0,10,52,72,97,56,5,50,49,38,104,1,74,0,107,859,32,17,38,37,42,59,8
1956,6,218,70,194,196,79,19,2,1,121,154,35,25,18,59,13,90,5,21,7,44,76,3,44,17,7,0,0,2,46,58,93,80,3,30,114,26,66,11,44,0,221,789,21,12,40,2,16,56,11
1956,7,48,44,175,182,101,28,4,2,48,71,12,20,8,26,15,163,7,12,11,46,140,6,33,16,7,0,1,4,57,40,111,56,2,36,37,19,42,2,34,0,126,397,20,26,29,12,10,54,1
1956,8,54,25,106,164,83,37,13,1,43,30,4,53,16,51,17,147,2,9,15,69,196,10,14,11,21,0,0,12,59,6,131,46,10,30,30,13,38,4,32,0,31,348,5,46,22,27,8,84,5
1956,9,33,31,28,215,51,28,11,1,6,20,18,47,36,35,8,52,2,9,12,57,162,8,22,23,15,2,0,29,96,13,92,14,9,41,13,12,74,8,19,4,79,332,1,27,37,9,32,108,9
1956,10,24,36,44,178,28,54,10,10,6,17,17,71,17,55,7,132,0,20,2,60,124,5,2,1,10,0,0,1,66,9,59,16,16,34,7,11,56,9,17,0,38,95,13,49,64,10,10,65,2
1956,11,59,29,21,100,8,26,7,0,21,13,4,42,23,51,18,120,4,15,16,85,153,20,10,2,111,1,0,20,35,34,118,15,5,49,73,11,70,8,41,0,15,161,9,62,25,19,19,101,5
1956,12,17,27,31,92,19,40,4,1,22,27,0,47,35,13,14,70,3,16,42,76,102,0,8,4,86,1,0,10,58,27,111,28,25,52,6,15,150,13,28,18,45,234,4,81,112,17,4,102,9
1957,1,39,50,33,145,33,57,1,2,22,30,0,26,48,45,13,87,0,34,22,137,174,2,7,2,234,0,2,13,90,31,175,10,3,58,28,3,185,13,39,6,23,503,4,113,42,17,20,86,2
1957,2,22,45,0,101,17,53,0,0,23,23,2,20,46,8,7,48,4,21,19,95,121,5,5,9,177,0,3,17,39,24,146,18,4,39,21,3,160,21,25,5,47,614,3,49,48,7,20,93,2
1957,3,25,49,7,94,11,37,6,0,19,40,4,29,25,10,6,90,1,15,19,58,107,2,6,11,194,4,6,35,65,14,156,13,4,42,41,3,210,3,55,0,48,823,12,31,103,7,31,51,1
1957,4,28,72,0,95,3,45,6,0,17,33,1,37,41,8,2,8,0,26,21,77,86,7,5,8,23,4,0,16,60,34,111,17,11,52,31,11,109,3,37,0,24,499,9,33,30,15,15,55,1
1957,5,35,67,2,227,10,37,1,1,23,30,4,51,91,30,2,98,2,11,39,81,145,1,11,14,162,0,0,55,70,56,145,4,15,58,23,16,176,4,67,2,50,501,6,19,30,24,36,44,9
1957,6,40,43,6,228,25,54,1,1,36,20,11,56,99,19,5,63,0,3,34,36,120,1,11,17,62,28,0,4,76,34,104,22,13,37,33,13,166,7,119,1,57,513,1,6,49,20,28,22,0
1957,7,37,151,13,399,35,28,1,9,29,16,6,83,112,11,12,153,1,7,59,57,97,5,10,7,50,18,0,6,62,47,132,15,8,78,51,13,177,5,104,0,27,464,10,8,47,23,32,67,2
1957,8,43,41,9,430,48,34,4,57,21,20,3,158,46,14,7,90,1,6,70,88,166,7,7,19,75,0,0,6,56,47,140,29,3,75,16,23,295,2,90,3,42,420,15,7,38,34,22,72,3
1957,9,35,30,0,355,33,37,8,25,9,21,8,172,79,21,6,50,1,10,35,81,194,8,4,21,67,12,7,9,61,53,185,10,6,81,14,6,186,7,26,5,31,250,17,4,15,42,25,61,2
1957,10,18,82,1,341,42,18,11,6,7,0,0,90,47,13,6,115,0,12,23,39,59,4,3,12,11,2,9,12,49,29,94,12,1,72,7,16,140,8,46,0,23,129,3,28,29,44,21,54,1
1957,11,19,52,2,159,8,24,2,3,11,4,5,69,35,8,1,49,0,2,6,21,36,11,6,8,12,3,0,25,14,30,100,4,2,42,10,5,70,5,43,2,182,141,3,23,22,28,10,42,5
1957,12,20,31,13,219,17,17,0,1,4,3,2,89,30,11,1,39,0,13,27,40,58,14,9,7,6,1,3,64,17,30,82,7,0,65,3,7,92,3,9,2,32,158,0,3,18,25,14,33,0
1958,1,7,92,15,254,20,47,3,2,9,4,3,81,27,5,16,109,0,31,10,43,74,7,0,10,11,0,2,63,20,32,73,9,2,43,1,26,104,12,34,0,34,163,0,58,23,29,19,63,0
1958,2,21,78,4,273,7,13,1,0,30,5,1,65,36,3,10,93,1,22,7,38,58,5,2,12,24,2,6,33,11,45,66,7,6,43,2,19,80,4,29,0,71,137,1,8,22,68,21,58,0
1958,3,20,104,42,267,23,22,0,1,20,5,3,52,42,8,12,111,1,35,2,48,66,16,5,3,4,0,3,46,11,87,78,8,5,48,16,30,106,2,36,0,82,366,4,27,23,41,21,47,0
1958,4,41,157,19,401,22,31,0,1,41,25,2,67,62,5,8,157,0,59,10,90,75,6,2,9,3,0,4,49,18,43,94,17,9,78,11,44,111,2,37,1,58,306,15,20,14,193,64,55,0
1958,5,41,173,6,340,15,34,1,0,91,16,1,51,164,4,7,159,0,61,11,94,76,35,2,8,29,0,3,18,18,56,102,24,8,90,29,47,121,1,102,5,99,509,14,24,41,163,42,51,0
1958,6,55,161,2,389,11,37,1,1,21,18,4,32,139,7,17,280,1,39,1,83,101,23,10,6,13,7,3,2,12,52,65,30,2,139,31,60,68,4,58,1,107,643,9,19,32,111,24,44,2
1958,7,11,102,11,441,20,17,1,0,55,7,20,88,148,9,18,292,3,21,13,103,65,20,39,13,5,18,4,13,15,52,56,63,1,120,37,102,68,9,11,0,131,610,7,11,58,108,50,154,0
1958,8,13,36,2,402,23,28,0,0,47,7,8,86,109,12,13,184,3,39,6,152,86,19,28,6,9,0,0,7,11,21,52,34,10,157,11,59,76,14,24,4,121,489,11,2,93,44,26,206,2
1958,9,8,64,40,319,26,29,2,3,31,18,9,142,155,13,15,261,2,33,7,164,174,38,62,61,58,0,1,2,32,25,70,38,15,158,6,45,109,15,5,1,59,239,12,4,67,55,59,162,0
1958,10,7,60,3,349,22,73,0,5,53,11,4,94,147,2,25,279,1,11,8,121,185,36,22,20,9,2,4,0,23,16,65,50,8,185,1,37,117,10,39,1,93,142,10,24,56,62,25,137,1
1958,11,2,61,8,199,5,85,0,0,40,13,1,89,91,13,21,202,2,41,4,141,149,45,18,85,3,1,0,2,21,54,116,65,0,100,3,21,249,42,64,0,272,204,8,26,88,83,68,171,0
1958,12,5,57,4,203,3,85,5,5,26,6,1,100,61,13,23,301,5,111,6,193,124,63,25,66,1,0,0,4,47,12,167,56,6,222,4,48,213,70,10,0,220,212,14,10,96,61,45,192,0
1959,1,9,47,30,188,15,87,0,4,29,0,0,111,186,11,0,356,6,97,4,163,140,60,41,51,7,0,3,4,53,37,108,55,4,196,6,69,173,100,15,2,274,404,4,29,136,58,53,150,0
1959,2,28,47,7,160,12,70,10,1,67,15,13,119,137,17,0,379,7,43,10,126,163,42,24,17,7,0,1,9,35,9,146,39,12,174,2,84,148,122,65,3,253,344,13,11,160,63,75,154,0
1959,3,27,96,11,216,14,59,2,1,82,11,1,151,108,15,0,231,2,32,6,89,124,27,54,27,14,2,0,1,54,23,100,26,23,131,3,75,165,89,28,0,249,454,19,18,84,81,109,168,0
1959,4,33,110,22,265,10,59,1,1,80,2,19,86,76,48,0,177,3,15,25,89,143,27,81,36,55,3,92,14,49,20,54,60,22,117,22,107,172,101,14,2,233,587,19,29,49,105,125,152,0
1959,5,46,55,15,190,32,53,0,1,121,5,37,134,91,23,0,190,2,43,16,84,126,27,89,42,18,2,8,3,47,22,72,120,25,84,13,56,160,127,17,8,350,969,14,16,195,80,120,64,0
1959,6,82,52,24,199,56,33,0,2,49,8,102,103,44,18,0,189,6,24,31,63,220,15,37,71,25,0,0,0,34,30,81,69,54,69,25,118,129,69,14,9,297,843,27,7,137,24,100,119,2
1959,7,52,58,20,268,41,23,5,6,166,11,68,139,65,62,0,203,10,27,27,62,227,12,24,49,23,1,1,0,41,19,56,56,55,62,17,87,133,41,11,0,350,743,33,7,81,28,208,122,2
1959,8,23,72,5,214,59,29,3,7,134,14,20,250,56,45,0,90,12,13,27,43,349,8,19,52,20,1,0,0,65,24,74,46,28,68,11,48,129,42,13,13,420,549,22,8,108,38,98,139,1
1959,9,24,64,5,283,32,69,4,10,56,17,47,272,83,22,0,164,1,43,45,46,487,10,16,27,37,1,0,6,69,8,91,25,25,73,6,37,124,85,4,2,193,279,20,7,62,32,107,142,3
1959,10,23,35,18,170,45,56,5,7,44,2,20,156,40,41,0,23,3,41,20,44,342,24,26,12,12,0,0,3,66,13,80,31,6,66,16,26,118,53,1,4,237,266,7,2,29,15,65,91,2
1959,11,35,45,80,155,64,40,5,3,30,1,11,121,29,43,0,31,2,28,18,49,422,12,3,23,14,1,1,4,30,15,102,14,8,52,10,12,72,54,6,0,148,165,14,9,39,12,50,73,36
1959,12,30,21,13,154,29,43,1,3,33,4,17,72,95,23,0,35,1,46,9,35,258,8,5,30,5,0,0,3,39,5,71,36,5,48,8,44,70,29,3,3,98,239,20,1,34,35,35,53,8
1960,1,11,37,3,133,29,34,1,8,18,0,6,58,39,10,10,44,2,54,6,26,260,5,9,16,6,3,4,8,25,18,45,10,5,22,11,45,42,12,6,14,337,354,12,1,40,35,51,40,9
1960,2,5,40,7,101,13,27,1,5,38,2,20,43,39,4,2,29,4,18,8,24,143,2,7,2,15,0,0,6,22,4,28,3,5,21,2,35,17,7,12,18,150,393,30,6,32,45,10,28,7
1960,3,3,51,2,122,34,28,1,9,38,0,10,41,28,10,7,15,0,23,8,19,122,9,3,15,18,1,1,3,29,0,31,5,13,6,24,37,23,5,3,2,114,290,12,8,21,27,6,27,0
1960,4,8,55,15,127,51,19,4,6,86,7,15,14,38,10,5,52,2,14,8,35,114,2,5,22,39,0,0,2,13,7,33,8,17,8,6,31,38,0,14,5,138,421,34,7,14,14,14,18,0
1960,5,6,50,10,152,64,10,0,5,42,2,14,19,37,4,5,101,0,12,9,14,60,1,2,2,21,0,0,1,21,5,29,5,2,14,23,40,35,1,1,1,103,171,33,0,14,11,26,21,0
1960,6,5,37,5,159,89,8,3,4,36,0,4,27,21,15,0,23,1,15,10,24,45,1,11,3,27,0,0,1,13,0,8,29,1,7,27,91,19,6,3,3,85,200,30,11,72,19,4,15,0
1960,7,21,44,0,151,67,7,4,3,39,2,13,55,36,3,4,11,0,4,9,9,52,0,3,1,44,59,1,6,11,3,11,11,5,7,2,92,16,8,0,1,62,204,43,0,25,8,14,15,0
1960,8,4,31,5,292,49,26,4,7,18,1,9,40,11,5,4,19,1,0,15,12,101,1,1,2,28,0,0,20,18,0,37,14,0,3,2,44,20,1,4,8,27,149,18,2,60,5,11,14,0
1960,9,23,21,0,209,20,11,4,1,49,4,5,40,6,6,7,14,0,6,24,19,66,0,1,2,18,0,0,37,24,11,29,7,0,15,0,36,38,0,80,6,33,95,12,0,16,21,11,14,4
1960,10,11,12,1,188,5,25,0,0,19,3,4,50,11,22,2,0,0,0,12,9,55,0,2,2,35,2,0,4,21,1,25,4,0,10,1,34,33,0,2,8,14,91,4,1,16,13,2,6,4
1960,11,3,6,1,192,18,16,0,2,29,0,5,27,11,8,13,24,0,25,8,12,50,0,0,1,19,1,0,10,14,0,14,6,2,4,1,33,20,1,1,0,14,78,8,9,18,30,9,9,1
1960,12,4,14,5,131,9,20,2,2,11,0,2,28,13,18,2,4,4,2,3,23,61,1,0,3,31,0,0,5,15,1,28,9,6,10,4,16,36,2,2,0,34,88,13,0,16,23,6,20,2
1961,1,2,58,2,139,5,20,0,0,17,0,0,26,12,11,0,14,0,19,8,13,56,2,0,1,19,0,0,4,12,6,43,5,1,3,0,25,47,4,4,0,29,109,38,2,7,5,4,21,2
1961,2,4,108,0,134,33,25,0,2,31,0,5,15,9,8,0,2,0,9,15,7,27,2,6,1,6,0,0,4,14,3,18,7,0,2,6,26,35,21,2,3,70,133,1,6,4,32,6,11,1
1961,3,12,72,3,156,19,28,0,1,11,1,2,34,16,9,0,4,0,4,6,21,44,1,5,0,11,1,0,5,25,1,53,4,0,3,0,39,41,4,7,4,19,184,1,1,6,29,13,10,4
1961,4,10,48,0,125,11,30,0,1,19,0,3,10,3,5,0,0,0,35,2,15,47,0,6,3,9,0,8,0,15,0,58,8,3,3,0,60,26,6,4,0,32,144,2,1,7,23,0,8,8
